Name;"Group Id";"Group name";"League ID";"Player ID";"Distance (mi)";"Distance (speed | extreme) (mi)";"Distance (speed | high) (mi)";"Distance (speed | low) (mi)";"Distance (speed | medium) (mi)";"Distance (speed | very high) (mi)";"Distance (speed | very low) (mi)";"Distance / min (mi)";"Distance / min (speed | extreme) (mi)";"Distance / min (speed | high) (mi)";"Distance / min (speed | low) (mi)";"Distance / min (speed | medium) (mi)";"Distance / min (speed | very high) (mi)";"Distance / min (speed | very low) (mi)";Number;Position;"Speed (% of max.) (%)";"Speed (max.) (mph)";"Speed (Ø) (mph)";"Time (s)";"Time (speed | extreme) (s)";"Time (speed | high) (s)";"Time (speed | low) (s)";"Time (speed | medium) (s)";"Time (speed | very high) (s)";"Time (speed | very low) (s)";"Time on Playing Field (s)";"Accel 1";"Accel 1 / min";"Accel 2";"Accel 2 / min";"Accel 3";"Accel 3 / min";"Accel 4";"Accel 4 / min";"Acceleration (max.) (ft/s²)";"Acceleration Load (distance | high) (mi)";"Acceleration Load (distance | low) (mi)";"Acceleration Load (distance | medium) (mi)";"Acceleration Load (distance | very high) (mi)";"Acceleration Load (load | high)";"Acceleration Load (load | low)";"Acceleration Load (load | medium)";"Acceleration Load (load | very high)";"Acceleration Load (max.)";"Acceleration Load (time | high) (s)";"Acceleration Load (time | low) (s)";"Acceleration Load (time | medium) (s)";"Acceleration Load (time | very high) (s)";"Acceleration Load / min";"Accels Load";"Accels Load / min";"Accumulated Acceleration Load";"Accumulated Acceleration Load / min";"Anaerobic Activity (distance) (mi)";"Anaerobic Activity (time) (s)";"Decel 1";"Decel 1 / min";"Decel 2";"Decel 2 / min";"Decel 3";"Decel 3 / min";"Decel 4";"Decel 4 / min";"Deceleration (max.) (ft/s²)";"Decels Load";"Decels Load / min";"High Metabolic Power Distance (m)";"High Metabolic Power Distance / min (m)";"High Speed and Acceleration Distance (m)";"High Speed and Acceleration Distance / min (m)";"High Speed and Acceleration Time (s)";"Jump Load (J)";"Jump Load / min (J)";"Jump Load per mass (J/kg)";"Jump Load per mass / min (J/kg)";"Mechanical Intensity";"Mechanical Intensity (def.)";"Mechanical Intensity (off.)";"Mechanical Load";"Mechanical Load (def.)";"Mechanical Load (off.)";"Metabolic Power (max.) (W)";"Metabolic Power (time | high) (s)";"Metabolic Power (time | low) (s)";"Metabolic Power (time | medium) (s)";"Metabolic Power (time | very high) (s)";"Metabolic Power (Ø) (W)";"Metabolic Power per mass (max.) (W/kg)";"Metabolic Power per mass (Ø) (W/kg)";"Metabolic Work (kcal)";"Metabolic Work / min (kcal)";"Physio Intensity";"Physio Load";"Heart Rate (max.) (bpm)";"Heart Rate (min.) (bpm)";"Heart Rate (time | 0 - 50%) (s)";"Heart Rate (time | 50 - 60%) (s)";"Heart Rate (time | 60 - 70%) (s)";"Heart Rate (time | 70 - 80%) (s)";"Heart Rate (time | 80 - 90%) (s)";"Heart Rate (time | ≥ 90%) (s)";"Heart Rate (Ø) (bpm)";"Heart Rate Recoveries";"Heart Rate Recoveries / min";"Human Core Temperature (max.) (°F)";"Human Core Temperature (Ø) (°F)";TRIMP;Accelerations;"Accelerations (high)";"Accelerations (low)";"Accelerations (medium)";"Accelerations (very high)";"Accelerations / min";"Accelerations / min (high)";"Accelerations / min (low)";"Accelerations / min (medium)";"Accelerations / min (very high)";"Changes of Direction";"Changes of Direction (left)";"Changes of Direction (right)";"Changes of Direction / min";"Changes of Direction / min (left)";"Changes of Direction / min (right)";"Changes of Orientation";"Changes of Orientation / min";Decelerations;"Decelerations (high)";"Decelerations (low)";"Decelerations (medium)";"Decelerations (very high)";"Decelerations / min";"Decelerations / min (high)";"Decelerations / min (low)";"Decelerations / min (medium)";"Decelerations / min (very high)";Exertions;"Exertions (high)";"Exertions (low)";"Exertions (medium)";"Exertions (very high)";"Exertions / min";"Exertions / min (high)";"Exertions / min (low)";"Exertions / min (medium)";"Exertions / min (very high)";FCTs;"FCTs (high)";"FCTs (low)";"FCTs (medium)";"FCTs / min";"FCTs / min (high)";"FCTs / min (low)";"FCTs / min (medium)";Jumps;"Jumps (high)";"Jumps (low)";"Jumps (medium)";"Jumps (very high)";"Jumps / min";"Jumps / min (high)";"Jumps / min (low)";"Jumps / min (medium)";"Jumps / min (very high)";MCTs;"MCTs (high)";"MCTs (low)";"MCTs (medium)";"MCTs / min";"MCTs / min (high)";"MCTs / min (low)";"MCTs / min (medium)";Sprints;"Sprints (high)";"Sprints (low)";"Sprints (medium)";"Sprints (very high)";"Sprints / min";"Sprints / min (high)";"Sprints / min (low)";"Sprints / min (medium)";"Sprints / min (very high)";"Noah Shots";"Noah Shots (make)";"Noah Shots (miss)";"Noah Shots / min";"Noah Shots / min (make)";"Noah Shots / min (miss)";"RSPCT Shots";"RSPCT Shots (make)";"RSPCT Shots (miss)";"RSPCT Shots / min";"RSPCT Shots / min (make)";"RSPCT Shots / min (miss)";Description;Types
"Deebo Coleman";1;Guards;63391;19;2.951;0;0.661;1.225;0.965;0.1;0;0.016;0;0.004;0.006;0.005;0.001;0;10;Forward;59;14.73;0.94;11323;0;307;3848;793;32;6342;6781;285.67;1.51;104.28;0.55;92.73;0.49;2.18;0.01;12.32;0.635;1.248;0.332;0.736;183.44;351.47;125.71;166.96;23.92;476;9984;521;342;0.78;484.86;2.57;827.58;4.39;1.222;685;1089.53;5.77;290.69;1.54;224.05;1.19;4.36;0.02;-14.06;1608.63;8.52;0.294;0.002;0.242;0.001;135;48786.33;258.51;500.27;2.65;11.09;0;0;2093.49;0;0;6340.24;170;9761;1325;68;169.04;29.26;0.78;466.29;2.47;5.7;1079.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;148;28;42;76;2;0.78;0.15;0.22;0.4;0.01;34;23;11;0.18;0.12;0.06;178;0.94;124;34;48;40;2;0.66;0.18;0.25;0.21;0.01;196;67;34;72;23;1.04;0.36;0.18;0.38;0.12;47;11;17;19;0.25;0.06;0.09;0.1;248;3;241;3;1;1.31;0.02;1.28;0.02;0.01;71;17;19;35;0.38;0.09;0.1;0.19;47;5;20;21;1;0.25;0.03;0.11;0.11;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
"Jalon Moore";1;Guards;63393;23;2.22;0.005;0.313;1.264;0.546;0.093;0;0.012;0;0.002;0.007;0.003;0.001;0;14;Forward;66;16.51;0.72;11096;1;149;3234;449;28;7234;4919;237.08;1.28;53.09;0.29;58.55;0.32;1.09;0.01;12.9;0.416;1.28;0.332;0.192;89.1;341.06;95.41;35.21;8.64;244;10390;384;78;0.54;349.81;1.89;560.78;3.03;0.497;242;847.91;4.58;165;0.89;120.55;0.65;0;0;-11.17;1133.45;6.13;0.175;0.001;0.189;0.001;94;29543.97;159.75;308.68;1.67;8.02;0;0;1483.26;0;0;8126.27;73;10069;905;50;122.51;38.21;0.58;330.61;1.79;4.3;796.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;33;22;22;7;0.45;0.18;0.12;0.12;0.04;18;7;11;0.1;0.04;0.06;68;0.37;69;24;25;19;1;0.37;0.13;0.14;0.1;0.01;109;24;31;54;0;0.59;0.13;0.17;0.29;0;22;12;5;5;0.12;0.06;0.03;0.03;140;2;125;2;11;0.76;0.01;0.68;0.01;0.06;33;15;11;7;0.18;0.08;0.06;0.04;22;11;5;4;2;0.12;0.06;0.03;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
"Jordan Meka";2;Bigs;64244;24;1.189;0;0.065;0.846;0.278;0;0;0.006;0;0;0.005;0.002;0;0;23;Center;42;10.42;0.39;11047;0;34;3021;229;0;7762;4642;213.47;1.16;28.97;0.16;10.73;0.06;0;0;10.19;0.102;0.832;0.214;0.041;26.77;276.7;69.53;10.03;7.21;81;10626;314;25;0.37;253.16;1.38;383.04;2.08;0.097;63;762.24;4.14;43.02;0.23;13.43;0.07;0;0;-7.79;818.69;4.45;0.017;0;0.022;0;12;51653.79;280.56;506.11;2.75;5.82;0;0;1071.85;0;0;4281.4;18;10589;434;6;69.76;18.88;0.31;195.29;1.06;2.5;455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;5;6;6;0;0.09;0.03;0.03;0.03;0;5;2;3;0.03;0.01;0.02;21;0.11;6;0;6;0;0;0.03;0;0.03;0;0;39;9;14;15;1;0.21;0.05;0.08;0.08;0.01;3;0;2;1;0.02;0;0.01;0.01;192;7;172;2;11;1.04;0.04;0.93;0.01;0.06;4;0;3;1;0.02;0;0.02;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
"Jordan Usher";1;Guards;37356;17;4.892;0.028;1.093;2.08;1.595;0.096;0;0.027;0;0.006;0.012;0.009;0.001;0;4;Forward;67;16.59;1.65;10702;7;507;5302;1354;30;3502;9298;439.14;2.46;155.35;0.87;134.14;0.75;4.73;0.03;13.16;1.087;2.325;0.764;0.715;251.36;483.93;221.79;152.48;11.82;688;8839;847;328;1.11;733.35;4.11;1109.56;6.22;1.492;777;1591.41;8.92;448.67;2.52;288.41;1.62;9.82;0.06;-14.61;2338.31;13.11;0.452;0.003;0.352;0.002;194;70635.32;396.01;707.84;3.97;17.22;0;0;3071.66;0;0;7762.12;256;8050;2286;109;305.76;35;1.38;782.72;4.39;10.3;1830.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;214;54;63;87;10;1.2;0.3;0.35;0.49;0.06;46;26;20;0.26;0.15;0.11;223;1.25;170;38;69;54;9;0.95;0.21;0.39;0.3;0.05;315;87;97;110;21;1.77;0.49;0.54;0.62;0.12;100;11;38;51;0.56;0.06;0.21;0.29;242;9;205;21;7;1.36;0.05;1.15;0.12;0.04;133;20;42;71;0.75;0.11;0.24;0.4;69;3;31;28;7;0.39;0.02;0.17;0.16;0.04;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
"Khalid Moore";1;Guards;29932;21;3.656;0.003;0.852;1.588;1.1;0.113;0;0.021;0;0.005;0.009;0.006;0.001;0;12;Forward;61;15.24;1.25;10592;1;393;4139;898;35;5127;7661;326.89;1.85;131.68;0.75;114.73;0.65;1.09;0.01;12.84;1.149;1.494;0.593;0.42;265.07;364.48;189.31;88.06;27.82;708;8995;689;200;0.91;574.39;3.25;906.93;5.14;1.289;682;1174.76;6.65;389.28;2.21;267.27;1.51;5.45;0.03;-16.68;1836.77;10.4;0.377;0.002;0.319;0.002;176;53821.03;304.87;570.44;3.23;13.66;0;0;2411.15;0;0;6597.57;202;8794;1505;92;213.31;31.47;1.02;552.79;3.13;7.3;1293.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;176;61;48;64;3;1;0.35;0.27;0.36;0.02;41;20;21;0.23;0.11;0.12;211;1.2;152;38;61;51;2;0.86;0.22;0.35;0.29;0.01;265;45;79;129;12;1.5;0.25;0.45;0.73;0.07;79;19;20;40;0.45;0.11;0.11;0.23;245;4;214;7;20;1.39;0.02;1.21;0.04;0.11;105;24;28;53;0.59;0.14;0.16;0.3;55;7;22;24;2;0.31;0.04;0.12;0.14;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
"Kyle Sturdivant";1;Guards;64242;14;4.282;0.006;0.896;2.071;1.225;0.083;0;0.024;0;0.005;0.012;0.007;0;0;1;Guard;63;15.62;1.47;10523;2;437;4782;1022;26;4254;8538;361.47;2.06;158.24;0.9;144.05;0.82;0;0;11.49;0.992;1.899;0.667;0.725;249.76;421.75;216.86;146.35;8.22;676;8733;789;325;1.05;663.75;3.78;1034.71;5.9;1.448;779;1314.19;7.49;467.28;2.66;350.32;2;10.91;0.06;-13.42;2142.7;12.22;0.377;0.002;0.35;0.002;227;53912.26;307.4;603.32;3.44;16;0;0;2806.45;0;0;6583.47;228;8206;1979;110;247.78;33.15;1.25;609.05;3.47;8.2;1434.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;226;72;68;83;3;1.29;0.41;0.39;0.47;0.02;72;34;38;0.41;0.19;0.22;187;1.07;192;55;72;58;7;1.09;0.31;0.41;0.33;0.04;330;104;81;138;7;1.88;0.59;0.46;0.79;0.04;78;8;25;45;0.44;0.05;0.14;0.26;294;2;275;16;1;1.68;0.01;1.57;0.09;0.01;123;13;35;75;0.7;0.07;0.2;0.43;60;9;29;20;2;0.34;0.05;0.17;0.11;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
"Mike Devoe";1;Guards;29933;13;4.215;0.006;0.598;2.056;1.504;0.052;0;0.024;0;0.003;0.012;0.009;0;0;0;Guard;64;15.82;1.44;10592;2;292;5216;1302;16;3764;8781;414.69;2.35;132.63;0.75;63.98;0.36;0;0;11.65;0.866;2.266;0.731;0.352;207.38;509.33;222.01;72.19;8.61;573;9009;848;162;1.02;611.3;3.46;1010.91;5.73;0.969;540;1411.01;7.99;339.48;1.92;188.8;1.07;0;0;-11.59;1939.28;10.98;0.211;0.001;0.161;0.001;100;46870.24;265.49;540.98;3.06;14.45;0;0;2550.57;0;0;5518.15;172;8122;2248;50;224.86;28.66;1.17;569.71;3.23;7.8;1369.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;17;72;58;2;0.84;0.1;0.41;0.33;0.01;37;15;22;0.21;0.08;0.12;167;0.95;118;22;52;40;4;0.67;0.12;0.29;0.23;0.02;246;38;82;118;8;1.39;0.22;0.46;0.67;0.05;72;4;36;32;0.41;0.02;0.2;0.18;261;3;247;9;2;1.48;0.02;1.4;0.05;0.01;114;8;57;49;0.65;0.05;0.32;0.28;26;3;12;9;2;0.15;0.02;0.07;0.05;0.01;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
"Miles Kelly";1;Guards;63392;22;4.403;0;1.021;1.915;1.401;0.066;0;0.025;0;0.006;0.011;0.008;0;0;13;Guard;58;14.41;1.48;10716;0;484;4725;1150;20;4338;8717;369.29;2.07;151.47;0.85;133.27;0.75;1.09;0.01;12.56;1.361;1.849;0.804;0.389;299.91;471.42;250.5;80.18;10.64;806;8796;931;183;1.09;655.12;3.67;1102.01;6.17;1.403;729;1429.26;8;454.02;2.54;284.05;1.59;0;0;-11.07;2167.33;12.14;0.38;0.002;0.312;0.002;187;48611.65;272.18;626.76;3.51;15.8;0;0;2822.45;0;0;5665.25;225;8356;2030;105;212.94;32.87;1.24;545.11;3.05;7.2;1280.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;215;71;67;69;8;1.2;0.4;0.38;0.39;0.04;64;40;24;0.36;0.22;0.13;216;1.21;164;48;66;46;4;0.92;0.27;0.37;0.26;0.02;314;48;112;145;9;1.76;0.27;0.63;0.81;0.05;74;16;30;28;0.41;0.09;0.17;0.16;319;4;301;11;3;1.79;0.02;1.69;0.06;0.02;130;22;55;53;0.73;0.12;0.31;0.3;60;6;28;26;0;0.34;0.03;0.16;0.15;0;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
"Rodney Howard";2;Bigs;50662;25;3.961;0.002;1.007;1.587;1.257;0.108;0;0.023;0;0.006;0.009;0.007;0.001;0;24;Center;59;14.79;1.38;10366;1;447;4576;1097;33;4213;8100;360.77;2.09;136.61;0.79;117.36;0.68;2.18;0.01;12.06;1.008;1.744;0.606;0.603;243.91;445.93;203.44;156.66;30.09;663;8601;774;327;1.07;616.93;3.57;1049.95;6.08;1.358;784;1317;7.62;459.03;2.66;164.11;0.95;0;0;-11.58;1940.15;11.23;0.452;0.003;0.336;0.002;155;83895.12;485.59;751.88;4.35;14.8;0;0;2557.07;0;0;7433.08;221;8206;1835;104;287.44;29.98;1.16;708.09;4.1;9.6;1657.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169;54;42;70;3;0.98;0.31;0.24;0.41;0.02;52;27;25;0.3;0.16;0.14;211;1.22;139;28;83;25;3;0.8;0.16;0.48;0.14;0.02;279;57;52;138;32;1.61;0.33;0.3;0.8;0.19;109;29;24;56;0.63;0.17;0.14;0.32;271;9;246;12;4;1.57;0.05;1.42;0.07;0.02;127;34;31;62;0.74;0.2;0.18;0.36;79;7;45;24;3;0.46;0.04;0.26;0.14;0.02;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
"Saba Gigiberia";2;Bigs;50661;15;1.185;0;0.02;0.929;0.235;0;0;0.007;0;0;0.005;0.001;0;0;2;Center;34;8.43;0.4;10605;0;12;2699;209;0;7685;3759;217.26;1.23;19.57;0.11;0.55;0;0;0;6.42;0.065;0.942;0.165;0.012;21.74;278.96;52.89;3.5;7.95;68;10284;245;8;0.36;237.37;1.34;357.09;2.02;0.053;50;723.46;4.09;40.98;0.23;5.11;0.03;0;0;-7.39;769.55;4.35;0.001;0;0.001;0;2;44324.77;250.77;394.03;2.23;5.7;0;0;1006.92;0;0;2864.47;5;10157;442;0;76.14;11.46;0.3;203.91;1.15;2.8;499.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;5;1;0;0.03;0;0.03;0.01;0;6;3;3;0.03;0.02;0.02;34;0.19;5;0;3;2;0;0.03;0;0.02;0.01;0;30;2;12;16;0;0.17;0.01;0.07;0.09;0;1;0;1;0;0.01;0;0.01;0;169;9;148;9;3;0.96;0.05;0.84;0.05;0.02;2;0;2;0;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Boston College Game";Game
